npa,nxx,phone_number,company,address1,city,state,postal_code,market,email,vendor_lead_code
407,293,4072936574,Steppi Roofing Inc,3609 Old Winter Garden Rd,Orlando,FL,32805,,,RR-023
407,299,4072999600,Sunshine Roofing Ocoee Inc,137 Taylor St,Ocoee,FL,34761,OCOEE,,RR-174
407,303,4073032766,Wormley Roofing (WP),,Orlando,FL,32804,,,RR-094
407,305,4073058323,Ron West Roofing,10651 Buck Rd,Orlando,FL,32817,,,RR-029
407,305,4073056657,Xtreme Roofing & Construction,147 Parliament Loop Ste 1001,Lake Mary,FL,32746,LAKE MARY,,RR-186
407,310,4073106748,Florida Seamless Gutters,2632 Pemberton Dr,Apopka,FL,32703,WINTER GARDEN svc,,RR-112
407,316,4073167021,Allegiance Roof Restoration,,Palm City,FL,34990,,,RR-044
407,321,4073211520,All Seasons Roofing Repair,409 W 4th St,Sanford,FL,32771,SANFORD,,RR-158
407,321,4073216553,Senez Roofing,914 Pine Ave,Sanford,FL,32771,SANFORD,,RR-160
407,322,4073229558,Adcock Roofing,800 S French Ave,Sanford,FL,32771,SANFORD,,RR-143
407,322,4073221555,Advanced Roofing of Central FL,3551 W State Road 46,Sanford,FL,32771,SANFORD,,RR-145
407,326,4073269777,Calloway Roofing,2704 Rew Cir Ste 105a,Ocoee,FL,34761,OCOEE,,RR-181
407,326,4073263991,J&M Roofing,3586 Aloma Ave Ste 13,Winter Park,FL,32792,WINTER PARK,,RR-065
407,328,4073287700,Roof-Over America Inc,204 Trieste Loop,Lake Mary,FL,32746,LAKE MARY,,RR-192
407,330,4073307663,Proguard Restoration,641 Monroe Rd,Sanford,FL,32771,SANFORD,,RR-153
407,330,4073309303,Tecta America Central FL Commercial Roofing,588 Monroe Rd,Sanford,FL,32771,SANFORD,,RR-146
407,332,4073321328,Charles H Miksch Inc,,Winter Park,FL,32792,WINTER PARK,,RR-090
407,333,4073330009,Sears Home Improvement Roofing,,Lake Mary,FL,32746,LAKE MARY,,RR-205
407,337,4073378807,Dr Phillips Roofing (verify name),7512 Dr Phillips Blvd,Orlando,FL,32819,PRIORITY; verify name,,RR-006
407,347,4073478347,FBC Roofing,2222 Ocoee Apopka Rd Ste 104,Ocoee,FL,34761,OCOEE,,RR-175
407,348,4073483777,A To Z Coatings Inc,204 E Drury Ave,Kissimmee,FL,34744,KISSIMMEE,,RR-098
407,349,4073499881,R West Roofing,330 Rest Haven Ave,Orlando,FL,32806,,,RR-028
407,359,4073598147,Southern Style Roofing Inc,962 Palmetto St,Oviedo,FL,32765,OVIEDO,,RR-223
407,365,4073658586,Wales Roofing Co,301 Clonts St,Oviedo,FL,32765,OVIEDO,,RR-231
407,393,4073938888,Century Roofing Specialists,121 S Orange Ave Ste 1500,Orlando,FL,32801,,,RR-019
407,395,4073959712,Mac Mar Roofing,403 Maguire Rd,Ocoee,FL,34761,OCOEE,,RR-178
407,403,4074035464,Fellowship Group Roofing,333 12th St,Clermont,FL,34711,CLERMONT,,RR-132
407,407,4074070940,Wormley Roofing,,Orlando,FL,32804,,,RR-045
407,408,4074089298,Stephens Roofing,4761 Florence St,Apopka,FL,32712,,,RR-050
407,420,4074200478,Empire Roofing Orlando,410 Bif Ct,Orlando,FL,32836,PRIORITY 32836,,RR-001
407,423,4074237570,Batson Robert Roofing Inc,2823 E Jersey Ave,Orlando,FL,32806,,,RR-024
407,427,4074272098,SAVITARA General & Roofing Contractors,PO Box 616946,Orlando,FL,32861,WINTER GARDEN svc,,RR-110
407,430,4074307663,Sky Light Roofing,2516 Middleton Ave,Winter Park,FL,32792,,,RR-048
407,431,4074314263,Creative Roofing Specialists,708 Powderhorn Cir,Lake Mary,FL,32746,LAKE MARY,,RR-188
407,435,4074353433,Roofing R Us System Inc,263 Shady Oaks Cir,Lake Mary,FL,32746,LAKE MARY,,RR-191
407,435,4074355148,Synot Roofing & Construction,629 Ellen Dr,Winter Park,FL,32789,WINTER PARK,,RR-074
407,437,4074374146,Mecca Roofing,3005 W Lake Mary Blvd,Lake Mary,FL,32746,LAKE MARY,,RR-190
407,440,4074409140,The Orlando Roofing Co (Hoffner),6682 Hoffner Ave,Orlando,FL,32822,,,RR-014
407,456,4074567663,Fortified Roofing Solutions Corp,2222 Elsinore Ave,Winter Park,FL,32792,WINTER PARK,,RR-057
407,462,4074628504,Elevate Roofing (Oviedo),939 Taramundi Dr,Oviedo,FL,32765,OVIEDO,,RR-230
407,470,4074700315,Bryan's Roofing Inc,2975 Banana Palm Dr,Kissimmee,FL,34747,KISSIMMEE,,RR-107
